iter	Passed	Remaining
230	26677	88811
231	26788	88678
232	26894	88533
233	27004	88400
234	27115	88268
235	27223	88130
236	27335	88004
237	27450	87888
238	27563	87766
239	27664	87605
240	27771	87462
241	27878	87322
242	27989	87192
243	28099	87062
244	28211	86937
245	28329	86832
246	28451	86735
247	28575	86649
248	28692	86537
249	28805	86417
250	28919	86299
251	29038	86193
252	29163	86107
253	29288	86019
254	29418	85947
255	29555	85896
256	29681	85811
257	29803	85713
258	29922	85608
259	30037	85492
260	30155	85381
261	30281	85296
262	30413	85226
263	30545	85156
264	30666	85056
265	30786	84952
266	30907	84849
267	31030	84754
268	31164	84689
269	31303	84636
270	31429	84547
271	31555	84458
272	31683	84374
273	31807	84279
274	31931	84182
275	32050	84075
276	32168	83962
277	32285	83850
278	32406	83746
279	32553	83709
280	32690	83646
281	32832	83594
282	32970	83534
283	33106	83466
284	33233	83375
285	33359	83280
286	33488	83196
287	33614	83101
288	33740	83007
289	33874	82933
290	34004	82849
291	34128	82749
292	34248	82641
293	34376	82549
294	34523	82505
295	34663	82442
296	34813	82402
297	34964	82366
298	35130	82362
299	35274	82306
300	35417	82248
301	35564	82198
302	35695	82111
303	35824	82018
304	35962	81946
305	36101	81876
306	36228	81780
307	36359	81691
308	36497	81616
309	36631	81534
310	36760	81439
311	36891	81351
312	37024	81264
313	37143	81147
314	37276	81060
315	37411	80978
316	37542	80888
317	37677	80804
318	37806	80710
319	37943	80630
320	38093	80576
321	38241	80521
322	38385	80455
323	38522	80374
324	38656	80287
325	38790	80199
326	38927	80116
327	39066	80037
328	39207	79963
329	39344	79881
330	39494	79824
331	39651	79780
332	39792	79704
333	39934	79630
334	40078	79559
335	40223	79488
336	40361	79404
337	40492	79308
338	40627	79218
339	40757	79118
340	40898	79038
341	41040	78961
342	41177	78873
343	41320	78796
344	41474	78741
345	41622	78673
346	41765	78595
347	41905	78511
348	42057	78451
349	42190	78354
350	42327	78263
351	42465	78174
352	42612	78103
353	42751	78015
354	42916	77975
355	43065	77904
356	43211	77829
357	43355	77748
358	43503	77676
359	43648	77596
360	43786	77505
361	43921	77409
362	44055	77309
363	44190	77211
364	44321	77107
365	44454	77005
366	44587	76903
367	44718	76799
368	44859	76711
369	44999	76620
370	45148	76546
371	45300	76475
372	45435	76375
373	45575	76284
374	45705	76176
375	45844	76083
376	45984	75989
377	46110	75874
378	46233	75754
379	46362	75644
380	46506	75557
381	46655	75479
382	46796	75388
383	46939	75298
384	47118	75267
385	47269	75191
386	47421	75114
387	47574	75040
388	47731	74971
389	47892	74908
390	48043	74829
391	48185	74736
392	48317	74627
393	48449	74518
394	48591	74425
395	48717	74306
396	48844	74189
397	48978	74082
398	49112	73977
399	49248	73873
400	49418	73819
401	49576	73747
402	49706	73635
403	49832	73515
404	49965	73406
405	50097	73295
406	50232	73189
407	50365	73080
408	50505	72979
409	50650	72887
410	50788	72785
411	50915	72665
412	51047	72554
413	51175	72436
414	51305	72322
415	51439	72212
416	51569	72098
417	51717	72008
418	51909	71979
419	52124	71980
420	52319	71955
421	52471	71868
422	52632	71794
423	52776	71696
424	52927	71608
425	53083	71525
426	53236	71438
427	53394	71359
428	53601	71343
429	53792	71306
430	53955	71230
431	54111	71146
432	54252	71042
433	54394	70937
434	54540	70839
435	54680	70732
436	54819	70625
437	54966	70527
438	55124	70444
439	55277	70352
440	55424	70254
441	55577	70163
442	55725	70065
443	55882	69978
444	56056	69913
445	56262	69887
446	56421	69800
447	56583	69719
448	56747	69638
449	56918	69567
450	57063	69462
451	57217	69370
452	57382	69289
453	57530	69188
454	57690	69101
455	57829	68989
456	57981	68893
457	58125	68786
458	58272	68682
459	58427	68589
460	58587	68499
461	58735	68397
462	58884	68296
463	59043	68205
464	59212	68125
465	59388	68054
466	59551	67967
467	59702	67867
468	59862	67776
469	60021	67683
470	60179	67589
471	60330	67488
472	60477	67381
473	60642	67295
474	60799	67198
475	60954	67101
476	61114	67008
477	61277	66917
478	61434	66821
479	61586	66718
480	61736	66613
481	61876	66497
482	62030	66396
483	62177	66288
484	62325	66180
485	62467	66065
486	62617	65960
487	62763	65850
488	62916	65746
489	63061	65635
490	63204	65521
491	63354	65415
492	63504	65307
493	63648	65194
494	63785	65073
495	63916	64947
496	64068	64841
497	64213	64729
498	64366	64624
499	64533	64533
500	64686	64428
501	64828	64312
502	64972	64197
503	65117	64083
504	65272	63979
505	65423	63871
506	65581	63770
507	65728	63658
508	65888	63558
509	66060	63469
510	66230	63379
511	66387	63275
512	66540	63168
513	66701	63067
514	66855	62960
515	67000	62845
516	67144	62728
517	67291	62614
518	67440	62502
519	67601	62401
520	67759	62297
521	67914	62189
522	68070	62083
523	68251	61999
524	68392	61879
525	68533	61758
526	68680	61642
527	68829	61529
528	68981	61418
529	69139	61312
530	69298	61206
531	69460	61104
532	69615	60994
533	69754	60871
534	69892	60747
535	70032	60625
536	70172	60502
537	70321	60387
538	70473	60275
539	70635	60170
540	70785	60056
541	70923	59931
542	71059	59804
543	71202	59684
544	71346	59564
545	71493	59447
546	71643	59332
547	71798	59220
548	71938	59097
549	72077	58972
550	72203	58837
551	72338	58709
552	72480	58587
553	72620	58463
554	72760	58339
555	72893	58210
556	73035	58087
557	73177	57964
558	73310	57835
559	73435	57699
560	73570	57571
561	73698	57437
562	73825	57303
563	73961	57176
564	74084	57038
565	74203	56897
566	74334	56767
567	74454	56627
568	74586	56496
569	74720	56367
570	74855	56240
571	74983	56106
572	75117	55977
573	75251	55848
574	75377	55713
575	75513	55586
576	75645	55455
577	75772	55322
578	75898	55187
579	76033	55058
580	76162	54926
581	76288	54791
582	76417	54658
583	76558	54535
584	76700	54411
585	76884	54317
586	77032	54198
587	77185	54082
588	77333	53962
589	77483	53844
590	77626	53720
591	77804	53621
592	77984	53524
593	78142	53410
594	78299	53296
595	78460	53184
596	78616	53069
597	78763	52947
598	78905	52823
599	79090	52726
600	79250	52613
601	79400	52493
602	79568	52385
603	79734	52276
604	79876	52150
605	80044	52042
606	80203	51927
607	80353	51807
608	80490	51678
609	80635	51554
610	80771	51424
611	80910	51296
612	81058	51173
613	81199	51047
614	81341	50920
615	81469	50786
616	81601	50653
617	81735	50522
618	81867	50390
619	82010	50264
620	82263	50205
621	82414	50084
622	82566	49963
623	82710	49838
624	82846	49707
625	82977	49574
626	83117	49446
627	83260	49320
628	83410	49197
629	83565	49078
630	83722	48959
631	83882	48842
632	84020	48713
633	84154	48581
634	84297	48454
635	84452	48334
636	84615	48218
637	84774	48100
638	84926	47978
639	85098	47867
640	85265	47754
641	85426	47636
642	85586	47518
643	85742	47397
644	85902	47279
645	86055	47157
646	86190	47024
647	86354	46908
648	86556	46812
649	86714	46692
650	86865	46568
651	87090	46483
652	87304	46392
653	87514	46299
654	87715	46201
655	87861	46073
656	88012	45948
657	88273	45880
658	88448	45767
659	88620	45652
660	88822	45553
661	88995	45439
662	89162	45320
663	89318	45197
664	89483	45077
665	89654	44961
666	89806	44836
667	89945	44703
668	90095	44576
669	90249	44451
670	90397	44322
671	90547	44196
672	90694	44067
673	90848	43941
674	90996	43813
675	91138	43681
676	91306	43562
677	91458	43436
678	91602	43305
679	91739	43171
680	91900	43048
681	92047	42919
682	92226	42805
683	92385	42680
684	92561	42564
685	92733	42446
686	92897	42324
687	93046	42195
688	93201	42069
689	93357	41943
690	93488	41805
691	93636	41676
692	93774	41542
693	93921	41412
694	94106	41298
695	94288	41183
696	94442	41056
697	94583	40923
698	94714	40785
699	94850	40650
700	94982	40513
701	95124	40380
702	95274	40251
703	95413	40116
704	95566	39988
705	95723	39862
706	95879	39734
707	96029	39605
708	96189	39479
709	96332	39347
710	96468	39211
711	96612	39079
712	96746	38942
713	96873	38803
714	97001	38664
715	97182	38547
716	97432	38456
717	97645	38350
718	97834	38235
719	97980	38103
720	98142	37977
721	98323	37858
722	98484	37732
723	98624	37597
724	98753	37458
725	98911	37330
726	99043	37192
727	99190	37060
728	99344	36930
729	99479	36793
730	99610	36655
731	99735	36515
732	99871	36378
733	100006	36242
734	100144	36106
735	100284	35971
736	100425	35836
737	100567	35702
738	100710	35569
739	100855	35435
740	101002	35302
741	101167	35177
742	101336	35051
743	101473	34915
744	101617	34781
745	101752	34644
746	101911	34516
747	102124	34405
748	102275	34273
749	102438	34146
750	102626	34026
751	102846	33917
752	103030	33796
753	103249	33686
754	103425	33561
755	103666	33458
756	103852	33337
757	104012	33207
758	104164	33074
759	104321	32943
760	104496	32818
761	104662	32689
762	104812	32556
763	104968	32424
764	105132	32295
765	105282	32161
766	105441	32031
767	105640	31912
768	105821	31787
769	105992	31659
770	106152	31528
771	106387	31420
772	106602	31305
773	106817	31189
774	106986	31060
775	107202	30945
776	107418	30829
777	107636	30713
778	107791	30580
779	107954	30448
780	108164	30330
781	108355	30206
782	108510	30072
783	108669	29939
784	108829	29806
785	108986	29673
786	109147	29540
787	109333	29414
788	109499	29283
789	109679	29155
790	109884	29033
791	110036	28898
792	110177	28760
793	110322	28622
794	110456	28482
795	110607	28346
796	110752	28209
797	110904	28073
798	111059	27938
799	111200	27800
800	111336	27660
801	111477	27521
802	111638	27388
803	111816	27258
804	111999	27130
805	112171	26999
806	112369	26873
807	112547	26744
808	112782	26627
809	112951	26494
810	113130	26364
811	113314	26235
812	113480	26101
813	113672	25974
814	113796	25830
815	113940	25692
816	114084	25553
817	114221	25413
818	114368	25275
819	114509	25136
820	114660	24999
821	114806	24860
822	114971	24726
823	115155	24596
824	115354	24469
825	115510	24332
826	115664	24195
827	115811	24057
828	115960	23919
829	116092	23778
830	116229	23637
831	116357	23495
832	116484	23352
833	116615	23211
834	116758	23072
835	116893	22931
836	117022	22789
837	117151	22647
838	117278	22505
839	117400	22362
840	117520	22218
841	117641	22075
842	117760	21931
843	117879	21788
844	117999	21644
845	118123	21502
846	118246	21359
847	118368	21217
848	118493	21074
849	118636	20935
850	118762	20793
851	118889	20652
852	119012	20509
853	119130	20366
854	119256	20224
855	119380	20082
856	119504	19940
857	119629	19798
858	119758	19657
859	119880	19515
860	119997	19372
861	120111	19228
862	120229	19086
863	120357	18945
864	120478	18802
865	120604	18661
866	120724	18519
867	120846	18377
868	120969	18235
869	121089	18093
870	121209	17951
871	121339	17811
872	121468	17670
873	121599	17530
874	121723	17389
875	121843	17247
876	121975	17107
877	122121	16969
878	122261	16830
879	122398	16690
880	122529	16550
881	122665	16411
882	122796	16270
883	122925	16130
884	123054	15990
885	123182	15849
886	123315	15709
887	123462	15571
888	123610	15433
889	123753	15295
890	123887	15155
891	124019	15015
892	124155	14876
893	124290	14736
894	124428	14597
895	124570	14459
896	124717	14320
897	124852	14181
898	124994	14042
899	125132	13903
900	125273	13764
901	125406	13625
902	125534	13484
903	125670	13345
904	125816	13207
905	125955	13068
906	126086	12928
907	126212	12788
908	126347	12648
909	126479	12508
910	126618	12369
911	126753	12230
912	126886	12091
913	127010	11950
914	127130	11809
915	127261	11670
916	127388	11530
917	127514	11390
918	127663	11252
919	127797	11112
920	127919	10972
921	128044	10832
922	128168	10692
923	128305	10553
924	128468	10416
925	128622	10278
926	128790	10142
927	128951	10004
928	129114	9867
929	129333	9734
930	129504	9598
931	129685	9462
932	129865	9325
933	130036	9188
934	130194	9050
935	130363	8913
936	130518	8775
937	130682	8637
938	130831	8499
939	130987	8360
940	131142	8222
941	131299	8084
942	131440	7944
943	131563	7804
944	131700	7665
945	131830	7525
946	131967	7385
947	132104	7246
948	132245	7106
949	132386	6967
950	132518	6827
951	132651	6688
952	132783	6548
953	132917	6409
954	133051	6269
955	133179	6129
956	133312	5990
957	133440	5850
958	133565	5710
959	133693	5570
960	133810	5430
961	133929	5290
962	134052	5150
963	134187	5011
964	134322	4871
965	134464	4732
966	134644	4594
967	134778	4455
968	134906	4315
969	135026	4176
970	135157	4036
971	135292	3897
972	135413	3757
973	135532	3617
974	135656	3478
975	135784	3338
976	135914	3199
977	136053	3060
978	136197	2921
979	136328	2782
980	136447	2642
981	136571	2503
982	136700	2364
983	136830	2224
984	136954	2085
985	137075	1946
986	137189	1806
987	137298	1667
988	137403	1528
989	137517	1389
990	137632	1249
991	137742	1110
992	137856	971
993	137970	832
994	138087	693
995	138200	555
996	138326	416
997	138452	277
998	138572	138
999	138701	0
