iter	RMSE
0	61.41032104
1	61.30813311
2	61.21243417
3	61.12029964
4	61.0338648
5	60.95150031
6	60.87599313
7	60.80176044
8	60.73683583
9	60.67033357
10	60.60222374
11	60.53796205
12	60.48270354
13	60.4319694
14	60.38490803
15	60.33322933
16	60.28894829
17	60.24263545
18	60.20112184
19	60.16356786
20	60.12527331
21	60.08999117
22	60.05683754
23	60.01830744
24	59.97696353
25	59.94873164
26	59.91655952
27	59.88683938
28	59.86117426
29	59.83503045
30	59.81078152
31	59.78539932
32	59.75362312
33	59.72930305
34	59.71037034
35	59.69235173
36	59.65784349
37	59.631786
38	59.60548122
39	59.57577153
40	59.55366027
41	59.5398867
42	59.5163428
43	59.48729763
44	59.45067863
45	59.42914387
46	59.41467392
47	59.38609794
48	59.35641552
49	59.34468602
50	59.3151642
51	59.29779889
52	59.26986016
53	59.25830366
54	59.22740534
55	59.20103664
56	59.18500674
57	59.17001069
58	59.15039644
59	59.13386892
60	59.11889962
61	59.09867589
62	59.07186717
63	59.05853309
64	59.04254202
65	59.0309596
66	59.01846329
67	58.99596416
68	58.9861141
69	58.97026208
70	58.95919322
71	58.94856023
72	58.93439781
73	58.92451782
74	58.91263132
75	58.90396086
76	58.8960044
77	58.88487807
78	58.87318828
79	58.85339278
80	58.84473864
81	58.83524956
82	58.82835762
83	58.81911437
84	58.80103021
85	58.78896606
86	58.78067845
87	58.7695757
88	58.75248193
89	58.73970551
90	58.7222544
91	58.70683448
92	58.70138164
93	58.69343445
94	58.67364057
95	58.66180691
96	58.64928059
97	58.63911539
98	58.62903539
99	58.61873688
100	58.60381633
101	58.59825415
102	58.59020034
103	58.57847721
104	58.57590227
105	58.56316232
106	58.55470793
107	58.54277653
108	58.53279767
109	58.52482592
110	58.51574618
111	58.49896676
112	58.49643182
113	58.49242296
114	58.4860229
115	58.47346678
116	58.46373706
117	58.45592353
118	58.44658122
119	58.44243864
120	58.43182126
121	58.42703635
122	58.41614442
123	58.40802785
124	58.40325344
125	58.39886785
126	58.39739757
127	58.39065855
128	58.38453719
129	58.37362039
130	58.36951065
131	58.36399531
132	58.35327807
133	58.3498994
134	58.34556078
135	58.34019901
136	58.33722388
137	58.33144938
138	58.32715735
139	58.32166024
140	58.30879006
141	58.29961016
142	58.29248364
143	58.28261047
144	58.27796698
145	58.27285698
146	58.26778811
147	58.25847444
148	58.25177654
149	58.24583654
150	58.24097237
151	58.23532082
152	58.22597005
153	58.22212002
154	58.21710176
155	58.21245317
156	58.2099844
157	58.20519019
158	58.20156038
159	58.19727509
160	58.19082107
161	58.18553521
162	58.18188657
163	58.17568432
164	58.16842287
165	58.16544161
166	58.1593881
167	58.15149807
168	58.14954881
169	58.14589129
170	58.14378382
171	58.13972531
172	58.1344756
173	58.13094609
174	58.12848669
175	58.12262843
176	58.11869506
177	58.11351957
178	58.1104672
179	58.10719536
180	58.10255055
181	58.10088246
182	58.09796464
183	58.09308994
184	58.08769177
185	58.0823899
186	58.07591983
187	58.07296507
188	58.06881215
189	58.05947508
190	58.05571727
191	58.05176453
192	58.04485217
193	58.04143931
194	58.03411808
195	58.02573244
196	58.02317489
197	58.0185815
198	58.01732014
199	58.01609488
200	58.0149627
201	58.01088637
202	58.00651798
203	58.00433312
204	57.99825168
205	57.99713101
206	57.99412539
207	57.99017656
208	57.98689124
209	57.98202253
210	57.97954657
211	57.97816103
212	57.97563495
213	57.97259
214	57.97146486
215	57.96748148
216	57.96448282
217	57.95703025
218	57.95430519
219	57.94849549
220	57.94613983
221	57.94187609
222	57.93588474
223	57.93276537
224	57.93180873
225	57.9280806
226	57.9234962
227	57.92228007
228	57.91910854
229	57.9137643
230	57.91024661
231	57.90709851
232	57.90486427
233	57.90145347
234	57.89709382
235	57.89387195
236	57.88832122
237	57.88195474
238	57.87941592
239	57.87598584
240	57.86950582
241	57.86365698
242	57.86186063
243	57.86006548
244	57.85770766
245	57.8537894
246	57.84984711
247	57.84762475
248	57.84406176
249	57.84266973
250	57.84062637
251	57.83891434
252	57.83739768
253	57.83288803
254	57.82821396
255	57.82558078
256	57.82270749
257	57.82022968
258	57.81921241
